用例ID,模块,子场景,业务描述,输入,输入JSON,tools工具,输出JSON,展示JSON,展示字段/指标,校验点,,,,,,,,,,
INT-201,意图识别,预测对比报告意图识别,仅时间窗，生成7月预测对比报告,帮我生成7月的预测对比报告,,,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE""}",,,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 粒度=周（week，默认）
[MUST] 汇总维度=物理仓
[SHOULD] 指标=WMAPE（默认）",,,,,,,,,,
INT-202,意图识别,预测对比报告意图识别,单SKU，7月预测对比,看看 A001 在 7月的预测对比,,,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""sku"": ""A001"", ""metric"": ""WMAPE""}",,,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
RPT-201,预测对比报告,生成预测对比报告,仅时间窗，生成7月预测对比报告,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE""}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[SHOULD] 指标=WMAPE（默认）",,,,,,,,,,
RPT-202,预测对比报告,生成预测对比报告,单SKU，7月预测对比,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""sku"": ""A001"", ""metric"": ""WMAPE""}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
RPT-203,预测对比报告,生成预测对比报告,单仓，7月预测对比,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metric"": ""WMAPE""}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
RPT-204,预测对比报告,生成预测对比报告,仓别名映射，7月预测对比,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metric"": ""WMAPE""}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
RPT-205,预测对比报告,生成预测对比报告,导出CSV，7月预测对比,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metric"": ""WMAPE""}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 导出格式=csv
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
RPT-206,预测对比报告,生成预测对比报告,用户输入模型（算法）对比，7月,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""algorithms"": [""MA"", ""ETS"", ""Croston""], ""metric"": ""WMAPE""}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 算法集合={MA, ETS, Croston}
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
RPT-207,预测对比报告,生成预测对比报告,多指标展示，7月预测对比,标准入参（承接意图识别解析结果）,"请求JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE"", ""metrics"": [""WMAPE"", ""MASE""]}","工具名称：duckdb_query
详细描述：查询需求预测明细并计算误差（WMAPE/MASE），按维度与粒度聚合生成对比报告",报告结果：摘要+明细,预测对比报告展示输出.json,最优算法；wMAPE；P50 WAPE；P90 WAPE；覆盖样本；算法；总行数；SKU数；仓库数,"[MUST] 输入为标准JSON（可解析）且 intent=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 指标集合包含={WMAPE, MASE}
[SHOULD] 主排序指标=WMAPE（若下游需要排序）
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
INT-203,意图识别,预测对比报告意图识别,单仓，7月预测对比,看看 北京仓 7月的预测对比,,,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metric"": ""WMAPE""}",,,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓",,,,,,,,,,
